from_date,item_description,purshase_price,selling_price,quantity
19-Feb,ONION GOLDEN 4KG,21,20,9
19-Feb,WHITE FOREST 8 PERSONS,69.568,109.95,8
19-Feb,HERBS R.TH.M.L. MIX2,4.75,4.95,6
19-Feb,ROMY BATAREKH WITH PEPPER,84.1,94.95,281.579
19-Feb,CAKE POUND CHOCOLATE,16.339,29.95,5
19-Feb,HALWANI PLAIN CHCKEN LNCHON,88,97.95,20.61
19-Feb,ORANGE VALENCIA FOR JUICE,2.5,2.95,342.568
19-Feb,N.PIZZA DOUGH,4.5,6.5,250
19-Feb,SUMAC,89.963,119.95,5.233
19-Feb,IM BEEF SHANK,105,139.95,48.202
19-Feb,A- GRAPEFRUIT PINK,7,7.95,174.1
19-Feb,A-ORANGE BALADY FOR JUICE,2.5,2.95,404.524
19-Feb,A-EGGPLANT BIG SIZE,11.5,9,93.917
19-Feb,BONES,0.01,5.95,52.304
19-Feb,CARROT 500GR,4.25,5.45,1
19-Feb,SABEEL WINGS 1KG,30.75,36.95,3
19-Feb,LASAGNA/KG,71,102.95,0.674
19-Feb,HERRING FILLET VAC,120,139.95,3.217
19-Feb,PETIT CAKE 1,6.64,10.95,67
19-Feb,ROSEMARY BALADY 100GR,6.15,6.75,17
19-Feb,A- APPLE RED DARK,22.75,22.95,49.002
19-Feb,RICE MILK TAGEN,6.35,14.95,13
19-Feb,TOFFIE,32.862,49.95,12.401
19-Feb,FRYING FISH/KG,4,7,1.054
19-Feb,WATERCRESS 50GR,0.8,0.95,93
19-Feb,A-LEMON BALADY,10.45,9.95,270.935
19-Feb,LHEMY BEEF LUNCHEON MEAT PIECES,80,92.95,0.301
19-Feb,A-APPLE GREEN IMPORT,27.5,29.95,79.797
19-Feb,KATILO CHEESE BRAMILY-KG,36,43.95,10.697
19-Feb,YELLOW ISTAMBOLY,30,34.95,10.772
19-Feb,BAL BEEF ROAST,127.79,159.95,5.444
19-Feb,ICE CREAM CARAMEL SAUCE,2.05,6,4
19-Feb,DONUTS CHOCOLATE X2,4.001,9,5
19-Feb,BASBOSA W. NUTS,32.099,74.95,30.328
19-Feb,SABEEL CHICKEN 1000-1100,49.75,58.95,8
19-Feb,MILK,2.3,6,1
19-Feb,BAG 150 GM WITH CHOCOLATE,18,25.95,10
19-Feb,MIXED VEGETABLES/KG,35,50.95,74.317
19-Feb,CASHEW BBQ FLAVOR,319.046,484.95,1.194
19-Feb,POTATO RED ROSETTA,8.9,9.95,143.529
19-Feb,SABEEL LIVER&GIZZARD 500GR,26.25,30.95,26
19-Feb,ISIS EGGPLANT 1KG,20,25.95,6
19-Feb,BLACK FOREST 8 PERSONS,74.197,135.95,5
19-Feb,ABA DELUXE MIX,171.02,259.95,0.07
19-Feb,A-EGGPLANT WHITE,13,13.95,8.661
19-Feb,CHOCOLATE&FRUITS CAKE 10PERS,97.448,159.95,15
19-Feb,ABA SALTED PISTACHIOS,312.467,474.95,2.456
19-Feb,ABA COFFEE,108.713,144.95,4.07
19-Feb,A- MANDARIN CHINESE,5,5.95,91.551
19-Feb,CAPPUCCINO REGULAR,8.5,21,2
19-Feb,HELBA,18.713,24.95,5.39
19-Feb,MEAT SAMBOUSSAK/KG,49.004,76.95,16.396
19-Feb,GRIND CARNATION,239.963,319.95,1.11
19-Feb,LOLOROSSA GREEN,4.5,4.95,14
19-Feb,TOAST BROWN 500GR,4.982,12.95,6
19-Feb,MEAT CUBES IN SAUCE,98,140.95,57.296
19-Feb,CHOCOLATE MOUSSE/PIC,7.497,15,18
19-Feb,CHEESA FLAVOR SMOKED,78.65,94.95,7.548
19-Feb,ABA ROASTED MACADAMIA ( SALTED ),624.967,949.95,0.784
19-Feb,BABA GHANOUG SALAD,4.523,6.95,82
19-Feb,FRENSH FRIES SANDWICH,2.4,4,1347
19-Feb,ISTAMBOLY CHEESE FRESH,29,34.95,2.405
19-Feb,A-RAISIN BLACK,43,49.95,57.851
19-Feb,PACKET BOUKSOMAT BLACK SEED LARGE,12.87,20,37
19-Feb,LHEMY BASTERMA VACUUM,215,255.95,28.541
19-Feb,PIZZA SALAMI HALF COOK,14.49,24.95,26
19-Feb,CHICKEN LEGS/KG,42,46.95,18.554
19-Feb,A-EGGPLANT BLACK,12.75,13.75,7.961
19-Feb,MEAT BURGER SANDWICH,11.83,16.95,11
19-Feb,PROFITEROLLE,7.854,14.95,34
19-Feb,LEEK,3.75,3.95,67
19-Feb,FETA CHEESE,29,36.95,36.255
19-Feb,KASHCAVAL SMOKED COW CHEESE,259.25,324.95,0.964
